X1,X2,X3,fitness_value
-0.00413466,0.00012298,0.00845761,0.0233158
-0.00380316,0.000123832,0.00947612,0.0254326
-0.00600823,-0.00100603,0.00827357,0.0256006
-0.0059683,-0.000143233,0.00847454,0.0258464
-0.00471246,-0.000729353,0.00940253,0.026319
-0.00587611,0.000360576,0.00886455,0.0265843
-0.00683616,-0.000147682,0.00837675,0.0270464
-0.0071182,9.54221e-05,0.0082187,0.0272079
-0.00713475,-0.00119872,0.00827357,0.0275248
-0.00556003,-0.00112838,0.00941351,0.0275257
-0.00556003,-0.00112838,0.00941351,0.0275257
-0.00383405,-0.00274411,0.00995883,0.0276001
-0.00669089,-0.000934075,0.0087473,0.0276916
-0.00595031,-0.000815217,0.00930797,0.0277592
-0.0071862,-0.000578971,0.0084541,0.0278493
-0.00671223,-0.000440954,0.00885594,0.027877
-0.00584116,0.000450476,0.00946519,0.0279055
-0.00720941,-0.000918379,0.0084431,0.0279291
-0.0057775,0.000553013,0.00956343,0.0280549
-0.00663687,-0.000169646,0.00908422,0.0282306
-0.00640184,-6.0095e-05,0.00925386,0.0282331
-0.00663156,-0.00189522,0.0089061,0.0282653
-0.00411202,-0.00325022,0.0100125,0.0283653
-0.00631514,-0.000757527,0.00939582,0.0284868
-0.00697647,8.1817e-05,0.00899443,0.0285872
-0.00704868,-2.82046e-05,0.00895584,0.0286246
-0.00742355,-0.000547747,0.00872343,0.0288164
-0.00732106,-3.52609e-05,0.00884238,0.0288495
-0.00630575,-0.000952073,0.00960467,0.0289831
-0.00673768,-0.000321758,0.00939733,0.0290881
gbest_X1,gbest_X2,gbest_X3,gbest
-0.00413466,0.00012298,0.00845761,0.0233158
